Labels,EmScan-UY-A001,
Type,Emission Scan,
Comment,Range = [480.00 - 560.00] nm; Peak at 515.00 nm; FWHM = 9.32 nm; Color Coordinates (CIE 1931): x = 0.0483 y = 0.7745,
Start,400.00,
Stop,600.00,
Step,1.00,
Fixed/Offset,350.00,
Xaxis,Wavelength,
Yaxis,Counts,
Scan Corr. by File,True,
Corr. by Ref. Det.,True,
Fixed/Offset Corr. by File,False,
Repeats,1,
Dwell Time,0.40,
Lamp,Xenon,
Temp,0.00,
Scan Polariser,None,
Scan Slit,0.49984244,
Fixed/Offset Polariser,None,
Fixed/Offset Slit,0.99968487,
Detector,Detector 1,

400.00,9.96780472E+1,
401.00,7.52866058E+1,
402.00,4.75334702E+1,
403.00,8.17810745E+1,
404.00,6.87929077E+1,
405.00,4.81913223E+1,
406.00,4.37527580E+1,
407.00,4.54399376E+1,
408.00,5.11056786E+1,
409.00,4.10494995E+1,
410.00,3.75673409E+1,
411.00,3.07165070E+1,
412.00,3.27286530E+1,
413.00,5.42400932E+1,
414.00,3.88183365E+1,
415.00,6.00656052E+1,
416.00,4.05613251E+1,
417.00,3.82317123E+1,
418.00,3.17046871E+1,
419.00,2.52835045E+1,
420.00,3.57314911E+1,
421.00,3.98643684E+1,
422.00,5.02985954E+1,
423.00,3.34847641E+1,
424.00,4.79921837E+1,
425.00,4.99634972E+1,
426.00,3.53693733E+1,
427.00,6.03029976E+1,
428.00,4.98810158E+1,
429.00,4.57102623E+1,
430.00,2.28712006E+1,
431.00,3.94974670E+1,
432.00,3.95264587E+1,
433.00,2.71020546E+1,
434.00,2.92039738E+1,
435.00,2.08534851E+1,
436.00,4.38138504E+1,
437.00,4.38938828E+1,
438.00,5.23970451E+1,
439.00,4.82700920E+1,
440.00,4.21295013E+1,
441.00,4.42852745E+1,
442.00,4.85595169E+1,
443.00,5.28881912E+1,
444.00,4.45335732E+1,
445.00,4.25575676E+1,
446.00,3.41373482E+1,
447.00,4.05774574E+1,
448.00,6.20412064E+1,
449.00,2.14489193E+1,
450.00,5.15789299E+1,
451.00,4.52630272E+1,
452.00,2.16212997E+1,
453.00,3.68718300E+1,
454.00,3.26464691E+1,
455.00,3.49670982E+1,
456.00,5.70879631E+1,
457.00,8.58196869E+1,
458.00,8.16298447E+1,
459.00,7.52598343E+1,
460.00,1.04498672E+2,
461.00,8.48433456E+1,
462.00,1.43513519E+2,
463.00,1.08084824E+2,
464.00,1.38104050E+2,
465.00,1.41080368E+2,
466.00,1.30343124E+2,
467.00,1.10248741E+2,
468.00,2.12335876E+2,
469.00,1.90246429E+2,
470.00,1.97997467E+2,
471.00,2.47775101E+2,
472.00,2.85960052E+2,
473.00,2.93383698E+2,
474.00,4.30363129E+2,
475.00,4.07914337E+2,
476.00,6.14122009E+2,
477.00,7.54909668E+2,
478.00,8.76384155E+2,
479.00,1.01644452E+3,
480.00,1.22669397E+3,
481.00,1.42616772E+3,
482.00,1.96183655E+3,
483.00,2.25075757E+3,
484.00,2.57370776E+3,
485.00,3.04796289E+3,
486.00,3.72100562E+3,
487.00,4.50389160E+3,
488.00,5.33519678E+3,
489.00,5.86556592E+3,
490.00,7.25530566E+3,
491.00,8.29331543E+3,
492.00,9.90485547E+3,
493.00,1.15026641E+4,
494.00,1.43751660E+4,
495.00,1.69944785E+4,
496.00,2.08610879E+4,
497.00,2.50699297E+4,
498.00,3.05712852E+4,
499.00,3.74834297E+4,
500.00,4.65238047E+4,
501.00,5.72247422E+4,
502.00,6.96367578E+4,
503.00,8.52908203E+4,
504.00,1.04566578E+5,
505.00,1.27868797E+5,
506.00,1.59456578E+5,
507.00,1.98111172E+5,
508.00,2.40019406E+5,
509.00,2.91660875E+5,
510.00,3.48789375E+5,
511.00,4.11554875E+5,
512.00,4.80526344E+5,
513.00,5.60003875E+5,
514.00,6.22042938E+5,
515.00,6.27486000E+5,
516.00,5.68150063E+5,
517.00,4.70307000E+5,
518.00,3.73378031E+5,
519.00,2.91859313E+5,
520.00,2.26838469E+5,
521.00,1.75824156E+5,
522.00,1.38463375E+5,
523.00,1.08762492E+5,
524.00,8.78233594E+4,
525.00,6.88388281E+4,
526.00,5.64942344E+4,
527.00,4.40579766E+4,
528.00,3.50252031E+4,
529.00,2.79983496E+4,
530.00,2.25697246E+4,
531.00,1.85515059E+4,
532.00,1.48806592E+4,
533.00,1.20958447E+4,
534.00,1.02052285E+4,
535.00,8.50373242E+3,
536.00,7.12994580E+3,
537.00,6.16866650E+3,
538.00,5.18706299E+3,
539.00,4.84963330E+3,
540.00,4.21069189E+3,
541.00,3.77885620E+3,
542.00,3.60540283E+3,
543.00,3.40646387E+3,
544.00,3.33985742E+3,
545.00,3.08932910E+3,
546.00,2.86298950E+3,
547.00,2.76761694E+3,
548.00,2.78182422E+3,
549.00,2.72257202E+3,
550.00,2.51296289E+3,
551.00,2.48609961E+3,
552.00,2.41664746E+3,
553.00,2.67229883E+3,
554.00,2.22073340E+3,
555.00,2.36802295E+3,
556.00,2.28316309E+3,
557.00,2.18667383E+3,
558.00,2.07515649E+3,
559.00,2.04982227E+3,
560.00,2.00413916E+3,
561.00,1.93315344E+3,
562.00,1.66901489E+3,
563.00,1.78526221E+3,
564.00,1.91773535E+3,
565.00,1.73936707E+3,
566.00,1.69104285E+3,
567.00,1.48283887E+3,
568.00,1.55001843E+3,
569.00,1.41065149E+3,
570.00,1.64589746E+3,
571.00,1.62881396E+3,
572.00,1.49318530E+3,
573.00,1.49685852E+3,
574.00,1.27721875E+3,
575.00,1.31962976E+3,
576.00,1.28046643E+3,
577.00,1.34952161E+3,
578.00,1.31852649E+3,
579.00,1.03442261E+3,
580.00,1.05759216E+3,
581.00,1.22524829E+3,
582.00,1.05479175E+3,
583.00,1.24113025E+3,
584.00,1.15130237E+3,
585.00,9.08217407E+2,
586.00,1.00438416E+3,
587.00,9.73153137E+2,
588.00,9.45214172E+2,
589.00,9.84007141E+2,
590.00,9.51081604E+2,
591.00,1.07452881E+3,
592.00,9.28482178E+2,
593.00,8.58710876E+2,
594.00,1.04805212E+3,
595.00,8.82568909E+2,
596.00,1.07907593E+3,
597.00,9.49646301E+2,
598.00,1.17792322E+3,
599.00,1.06800110E+3,
600.00,1.12709045E+3,
